AREA,PERIMETER,WCOLGEN02_,WCOLGEN021,DPTO,NOMBRE_DPT,MPIO,NOMBRE_MPI,NOMBRE_CAB,CLASEMUN,MPIOS,ZONA,OF_REG,REG_ZONAS,HECTARES,_ID
528329684.812,108791.188608,1028,26,52,NARIÑO,699,SANTA CRUZ,GUACHAVES,CM,52699,ZONA06,DACLI,DACLIZONA06,52832.968,1023
141687561.374,63706.9510302,1029,18,52,NARIÑO,381,LA FLORIDA,LA FLORIDA,CM,52381,ZONA06,DACLI,DACLIZONA06,14168.756,1024
8843450618.33,502888.134712,1030,821,18,CAQUETA,150,CARTAGENA DEL CHAIRA,CARTAGENA DEL CHAIRA,CM,18150,ZONA15,DABOG,DABOGZONA15,884345.062,1025
1109036555.19,200242.470567,1031,169,86,PUTUMAYO,001,MOCOA,MOCOA,CM,86001,ZONA08,DACLI,DACLIZONA08,110903.656,1026
118603574.309,57571.4000762,1032,29,52,NARIÑO,683,SANDONA,SANDONA,CM,52683,ZONA06,DACLI,DACLIZONA06,11860.357,1027
780702882.341,151464.368981,1033,832,18,CAQUETA,860,VALPARAISO,VALPARAISO,CM,18860,ZONA15,DABOG,DABOGZONA15,78070.288,1028
1193936257.95,168710.187645,1034,826,18,CAQUETA,460,MILAN,MILAN,CM,18460,ZONA15,DABOG,DABOGZONA15,119393.626,1029
407986486.707,95666.670969,1035,819,18,CAQUETA,029,ALBANIA,ALBANIA,CM,18029,ZONA15,DABOG,DABOGZONA15,40798.649,1030
1356867802.98,198179.189292,1036,32,52,NARIÑO,001,PASTO,SAN JUAN DE PASTO,CM,52001,ZONA06,DACLI,DACLIZONA06,135686.78,1031
77638804.73630001,40894.8326313,1037,1019,52,NARIÑO,565,PROVIDENCIA,PROVIDENCIA,CM,52565,ZONA06,DACLI,DACLIZONA06,7763.88,1032
546993536.206,91505.13201869999,1038,23,52,NARIÑO,435,MALLAMA,PIEDRANCHA,CM,52435,ZONA06,DACLI,DACLIZONA06,54699.354,1033
65475203.2168,34922.3708815,1039,28,52,NARIÑO,036,ANCUYA,ANCUYA,CM,52036,ZONA06,DACLI,DACLIZONA06,6547.52,1034
457923691.601,91863.6197695,1040,174,86,PUTUMAYO,755,SAN FRANCISCO,SAN FRANCISCO,CM,86755,ZONA08,DACLI,DACLIZONA08,45792.369,1035
196820438.162,69371.1826686,1041,25,52,NARIÑO,838,TUQUERRES,TUQUERRES,CM,52838,ZONA07,DACLI,DACLIZONA07,19682.044,1036
102524034.552,50758.8095484,1042,15,52,NARIÑO,207,CONSACA,CONSACA,CM,52207,ZONA07,DACLI,DACLIZONA07,10252.403,1037
87605829.2704,53967.684014,1043,173,86,PUTUMAYO,749,SIBUNDOY,SIBUNDOY,CM,86749,ZONA08,DACLI,DACLIZONA08,8760.583000000001,1038
121307744.274,44375.9576677,1044,14,52,NARIÑO,320,GUAITARILLA,GUAITARILLA,CM,52320,ZONA07,DACLI,DACLIZONA07,12130.774,1039
474821677.163,143796.611091,1045,822,18,CAQUETA,205,CURILLO,CURILLO,CM,18205,ZONA15,DABOG,DABOGZONA15,47482.168,1040
102420515.896,47141.2515859,1046,16,52,NARIÑO,885,YACUANQUER,YACUANQUER,CM,52885,ZONA07,DACLI,DACLIZONA07,10242.052,1041
111619073.484,50821.2207866,1047,170,86,PUTUMAYO,219,COLON,COLON,CM,86219,ZONA08,DACLI,DACLIZONA08,11161.907,1042
49700702191.8,1657908.81361,1048,831,18,CAQUETA,756,SOLANO,SOLANO,CM,18756,ZONA15,DABOG,DABOGZONA15,4970070.219,1043
156366670.354,67612.79434769999,1049,17,52,NARIÑO,788,TANGUA,TANGUA,CM,52788,ZONA07,DACLI,DACLIZONA07,15636.667,1044
